id,item_count,total_item_price,total_payment_value,total_freight_value,review_score,order_purchase_month,order_purchase_day,order_purchase_dayofweek,order_purchase_hour,order_purchase_time_day,until_shipped_waiting_hours,until_delivered_waiting_hours,total_package_volume,total_package_weight_g,delivery_efficiency,total_delivered_waiting_day,is_shipping_delayed,is_delivered_delayed,geo_distance,customer_state_region_type,seller_state_region_type,review_type,logistics_delay_hours,RFM_type,seller_level,product_type4,product_category6,package_kmeans,price_kmeans
112,1,0,0,0,5,2,1,4,12,1,1,1,0,0,1,1,0,0,0,2,2,1,1,2,0,3,1,0,3
11604,1,0,0,0,5,4,25,3,8,0,1,1,0,0,1,1,0,0,0,3,3,1,1,2,1,3,6,0,3
5934,1,0,0,0,5,5,31,3,9,0,0,1,0,0,1,1,0,0,0,3,3,1,1,1,0,3,5,0,3
9589,1,0,0,0,3,7,3,1,9,0,1,1,1,0,1,1,0,0,0,3,3,0,1,1,1,3,5,0,3
45,1,0,0,0,1,6,4,1,16,1,1,0,1,0,0,0,0,0,0,3,3,0,0,2,1,3,5,0,3
9204,1,0,0,0,5,11,6,1,12,1,1,1,1,0,1,1,0,0,0,3,3,1,1,1,1,3,2,0,3
4168,1,0,0,0,4,7,4,3,1,0,0,1,0,0,1,1,0,0,0,3,3,1,1,2,1,1,2,0,3
12082,1,0,0,0,5,7,19,3,12,1,1,1,0,0,1,1,0,0,0,3,3,1,1,1,0,3,2,0,3
4594,1,0,0,0,5,2,21,3,12,1,1,1,1,0,1,1,0,0,0,3,3,1,1,2,1,1,2,0,3
2370,1,0,0,0,4,8,6,1,12,1,1,1,0,1,1,1,0,0,0,3,3,1,1,2,1,3,4,0,3
7552,1,0,0,0,5,8,21,2,16,1,1,1,0,1,1,1,0,0,0,3,3,1,1,2,1,3,4,0,3
10023,1,0,0,0,1,4,23,0,12,1,0,0,2,1,0,0,0,0,1,3,3,0,0,1,0,3,4,2,3
10851,1,0,0,0,4,5,5,6,17,1,1,1,0,0,1,1,0,0,1,3,3,1,1,2,0,3,5,0,3
5709,1,0,0,0,5,7,30,1,14,1,1,1,0,0,1,1,0,0,0,3,3,1,1,2,1,3,5,0,3
8019,1,0,0,0,5,3,26,1,11,1,1,1,0,0,1,1,0,0,0,3,3,1,1,2,0,3,5,0,3
5867,1,0,0,0,5,8,19,0,14,1,1,1,0,0,1,1,0,0,0,3,3,1,1,2,0,3,2,0,3
3984,1,0,0,0,1,6,25,0,17,1,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,3,5,0,3
8989,1,0,0,0,5,5,15,2,7,0,1,1,0,0,1,1,0,0,0,2,2,1,1,2,1,3,5,0,3
5416,1,0,0,0,4,5,3,4,13,1,1,1,1,0,1,1,0,0,0,3,3,1,1,2,1,3,2,0,3
10490,1,0,0,0,1,7,31,2,21,1,0,0,0,1,0,0,0,0,1,3,2,0,0,2,0,3,4,0,3
1056,1,0,0,0,5,8,28,2,10,1,1,1,2,0,1,1,0,0,0,3,3,1,1,2,0,3,4,0,3
4211,1,0,0,0,5,5,14,1,11,1,1,1,1,0,1,1,0,0,0,3,3,1,1,2,0,3,5,0,3
8588,1,0,0,0,4,6,18,1,8,0,1,1,0,1,1,1,0,0,0,3,3,1,1,2,1,3,4,0,3
3629,1,0,0,0,5,8,15,3,9,0,1,1,0,0,1,1,0,0,0,3,3,1,1,2,0,3,5,0,3
7824,1,2,1,0,5,5,22,2,19,1,1,1,0,0,1,1,0,0,1,3,3,1,1,2,0,3,4,0,3
9634,1,1,1,0,5,5,31,4,13,1,1,1,0,0,1,1,0,0,0,2,2,1,1,2,0,3,1,0,3
9605,1,0,0,1,1,8,6,0,14,1,0,0,0,0,0,0,0,0,2,3,2,0,0,1,0,1,1,0,3
6525,1,1,0,0,2,8,6,1,20,1,0,0,0,0,0,0,0,0,0,3,3,0,0,2,1,4,1,0,3
3467,1,2,1,0,0,12,28,4,12,1,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,4,1,0,3
1033,1,1,1,0,5,12,28,4,10,1,1,1,0,0,1,1,0,0,0,3,3,1,1,1,1,3,2,0,3
1099,1,2,2,0,5,4,22,0,13,1,1,1,0,0,1,1,0,0,0,3,3,1,1,4,1,3,5,0,0
1972,1,2,1,1,1,3,13,1,16,1,0,0,1,2,0,0,0,0,0,3,3,0,0,1,0,3,6,0,3
9581,3,2,2,2,1,11,20,1,11,1,0,0,1,1,0,0,0,0,0,3,3,0,0,3,0,3,4,0,3
79,2,2,2,1,4,8,26,0,22,0,1,1,1,1,1,1,0,0,0,3,3,1,1,4,1,4,1,0,0
129,1,2,1,0,5,9,3,0,14,1,0,0,2,1,0,0,0,0,1,3,3,1,0,1,0,3,1,0,3
4742,1,1,1,0,1,2,11,0,20,1,0,0,1,2,0,0,0,0,1,3,3,0,0,2,0,3,5,0,3
8838,1,1,1,1,1,12,7,4,10,1,0,0,2,2,0,0,0,0,1,3,3,0,0,1,0,3,4,2,3
2949,2,2,2,2,1,11,10,5,8,0,0,0,1,1,0,0,0,0,1,3,2,0,0,3,1,3,5,0,0
12339,1,0,0,0,1,6,13,3,11,1,1,0,0,0,0,0,0,0,1,3,3,0,0,2,0,1,2,0,3
9957,1,2,2,2,1,5,14,1,19,1,0,0,2,2,0,0,0,0,1,3,3,0,0,4,0,3,5,2,3
9722,1,1,1,0,1,2,9,4,11,1,0,0,0,1,0,0,0,0,0,2,3,0,0,1,0,3,5,0,3
1881,1,2,2,0,2,1,2,2,9,0,1,1,2,1,1,1,0,0,0,3,3,0,1,4,0,3,4,2,0
4065,1,1,1,0,5,6,4,1,8,0,1,1,2,2,1,1,0,0,0,2,2,1,1,2,0,3,4,2,3
2696,1,2,2,2,4,7,29,0,8,0,1,1,2,2,1,1,0,0,2,2,3,1,1,4,0,3,5,2,1
10976,1,1,1,0,5,12,11,1,12,1,1,1,0,0,1,1,0,0,0,3,3,1,1,1,0,3,5,0,3
6977,1,0,0,0,5,8,19,0,9,0,1,1,0,0,1,1,0,0,0,2,2,1,1,2,0,3,1,0,3
9916,1,0,0,1,3,5,20,6,19,1,0,0,0,0,0,0,0,0,1,2,3,0,0,1,0,3,1,0,3
1620,1,2,2,1,1,11,21,2,17,1,0,0,2,0,0,0,0,0,2,3,2,0,0,3,0,3,2,0,0
5458,1,2,2,2,1,7,17,2,11,1,0,0,0,0,0,0,0,0,0,2,3,0,0,4,0,3,1,0,0
1426,1,0,0,0,4,7,3,2,9,0,0,1,0,0,1,1,0,0,0,3,3,1,1,2,1,3,1,0,3
9775,1,1,0,0,5,6,12,2,9,0,1,1,0,1,1,1,0,0,0,3,3,1,1,2,1,3,6,0,3
5481,1,1,2,2,2,4,23,0,13,1,0,0,0,0,0,0,0,0,2,4,3,0,0,1,1,4,1,0,3
